Glamorgan first innings forfeited and 273-5 ( H. Morris	S-ORG O O O O O O B-PER E-PER
JOHANNESBURG 1996-08-23	S-LOC O
The announcement followed a report in the weekly supermarket tabloid Star magazine , reprinted in Thursday 's editions of the New York Post , that the married adviser had hired a 37-year-old prostitute on a weekly basis while visiting Washington to advise Clinton on his re-election campaign .	O O O O O O O O O O B-ORG E-ORG O O O O O O O O B-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O S-LOC O O S-PER O O O O O
soccer matches played on Saturday :	O O O O O O
" The situation in Mahala seems to be very much on its way toward resolution .	O O O O S-LOC O O O O O O O O O O O
The News Agency of Nigeria ( NAN ) quoted police spokesman Umar Shelling as saying the six were killed on Wednesday .	O B-ORG I-ORG I-ORG E-ORG O S-ORG O O O O B-PER E-PER O O O O O O O O O
BAGHDAD 1996-08-22	S-LOC O
Burundi defends military regime to hostile UN .	S-LOC O O O O O S-ORG O
Silver ended up one cent $ 5.24 .	O O O O O O O O
Miners led by Cozma rioted in Bucharest in 1990 and 1991 , bringing down the reformist government of premier Petre Roman .	O O O S-PER O O S-LOC O O O O O O O O O O O O B-PER E-PER O
PRETORIA , South Africa 1996-08-24	S-LOC O B-LOC E-LOC O
Southern California Edison Co said it expected two 220 kilovolt ( KV ) power lines in southern California to resume service later today after being shut late Wednesday because of a wildfire raging north of Los Angeles .	B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O B-LOC E-LOC O
VERONA , Italy 1996-08-24	S-LOC O S-LOC O
Egypt hopes jars will reveal secrets of mummies .	S-LOC O O O O O O O O
Gold closed at $ 388.55 an ounce , compared with Monday 's close of $ 388.75 on international markets .	O O O O O O O O O O O O O O O O O O O O
Director Budge Weidman , who has shepherded the project from the beginning , predicts it will take up to a decade to complete .	O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O
15-10 16-17 15-1	O O O
LONDON 1996-08-22	S-LOC O
SOCCER - SCOTTISH LEAGUE RESULTS .	O O S-MISC O O O
No one was injures , he said .	O O O O O O O O
Ivorian journalist held , asked to reveal source .	S-MISC O O O O O O O O
Bucaram , who was elected on a populist platform last month , also plans to create a ministry for ethnic cultures .	S-PER O O O O O O O O O O O O O O O O O O O O O
Bradford finished third .	S-ORG O O O
Volendam 1 0 1 0 1 1 1	S-ORG O O O O O O O
10. Rubens Barrichello ( Brazil ) Jordan 1:53.152	O B-PER E-PER O S-LOC O S-ORG O
Variable clouds in southern India with showers .	O O O O S-LOC O O O
Some human rights groups have criticised the government 's handling of the situation .	O O O O O O O O O O O O O O
" We 're always concerned about aflatoxin but we 're on top of it , " Glickman told reporters after addressing a USDA-sponsored farmers ' market .	O O O O O O O O O O O O O O O O S-PER O O O O O S-MISC O O O O
Bordeaux 3 1 2 0 2 1 5	S-ORG O O O O O O O
Gluten feed 21 pct bulk Spot - 117.00 unc	O O O O O O O O O
Nicaraguan President Violeta Chamorro was due to fly to the United States on Saturday for a medical check-up to determine if surgery was needed on the lower part of her spinal column , the government said on Friday .	S-MISC O B-PER E-PER O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O
Women 's singles , second round	O O O O O O
The only other community is in the Russian village of Barentsburg .	O O O O O O O S-MISC O O S-LOC O
SOCCER - ST PAULI TAKE POINT WITH LATE FIGHTBACK .	O O B-ORG E-ORG O O O O O O
7. Jean Alesi ( France ) Benetton 1:52.354	O B-PER E-PER O S-LOC O S-ORG O
- Iraq denounces violation of airspace by U.S. warplanes .	O S-LOC O O O O O S-LOC O O
GOLF - SCORES AT WORLD SERIES OF GOLF .	O O O O B-MISC I-MISC I-MISC E-MISC O
Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .	S-LOC O S-MISC O B-PER E-PER O O O O O O O O O O B-LOC E-LOC O O O O S-MISC O O O S-PER O O O
Florida 3 ST LOUIS 2 ( 10 innings )	S-ORG O B-ORG E-ORG O O O O O
-- World steel market shows signs of upturn .	O O O O O O O O O
Latest opinion polls on German political parties .	O O O O S-MISC O O O
AMTRAK train hits truck , derails in Vermont .	S-ORG O O O O O O S-LOC O
Prime Minister Alain Juppe on Tuesday hailed handicapped athletes who took part in Atlanta 's Paralympic Games as an example for gloom-stricken France .	O O B-PER E-PER O O O O O O O O O S-LOC O B-MISC E-MISC O O O O O S-LOC O
Rottweiler kills South African toddler .	S-MISC O B-MISC E-MISC O O
Gephardt , a red-haired square-jawed man , is a less than fiery orator .	S-PER O O O O O O O O O O O O O
Russian shares slip in thin volume .	S-MISC O O O O O O
Maybe it was a combination of the heat and something I ate . "	O O O O O O O O O O O O O O
NEC Nijmegen 1 ( Van Eykeren 15th ) PSV Eindhoven 4 ( Numan 11th ,	B-ORG E-ORG O O O O O O B-ORG E-ORG O O O O O
Venantius sets $ 300 million January 1999 FRN .	S-ORG O O O O O O O O
The Reserve bank of India governor C. Rangarajan said on Thursday that he expected the cash reserve ratio ( CRR ) maintained by banks to be reduced over the medium term .	O B-ORG I-ORG I-ORG E-ORG O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O
It may be a little more problematic because of cold , wet conditions but we 're on top of it , " the secretary said .	O O O O O O O O O O O O O O O O O O O O O O O O O O
CALIFORNIA 61 72 .459 14	S-ORG O O O O
Western Suburbs 21 11 1 9 382 426 23	B-ORG E-ORG O O O O O O O
- Government asks senior Iraqi " diplomat " to leave , reviews status of others .	O O O O S-MISC O O O O O O O O O O O
At Cardiff : Kent 255-3 ( D. Fulton 64 , M. Walker 59 , C. Hooper	O S-LOC O S-ORG O O B-PER E-PER O O B-PER E-PER O O B-PER E-PER
CAPE TOWN 1996-08-28	B-LOC E-LOC O
But Meri 's support was not enough for the 68 needed for election and a third secret ballot will take place later in the day ( 1300 GMT ) , parliamentary officials said .	O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O
( Australia ) , Mark Roe , Emanuele Canonica ( Italy )	O S-LOC O O B-PER E-PER O B-PER E-PER O S-LOC O
Dutch champions Ajax Amsterdam faltered in their second league match of the season on Saturday losing 2-0 away at Heerenveen .	S-MISC O B-ORG E-ORG O O O O O O O O O O O O O O O S-ORG O
" From here we will march to Islamabad and by God we will not let Benazir and ( Bhutto 's husband Asif Ali ) Zardari escape justice , " Nawaz Sharif , leader of the main opposition Pakistan Muslim League told a rally organised by a 16-party alliance .	O O O O O O O S-LOC O O S-PER O O O O S-PER O O S-PER O O B-PER E-PER O S-PER O O O O B-PER E-PER O O O O O O B-ORG I-ORG E-ORG O O O O O O O O O
Heavy fighting broke out between two rival Kurdish factions in northern Iraq at midnight Sunday and at least 29 people were killed , one of the groups said on Monday .	O O O O O O O S-MISC O O O S-LOC O O O O O O O O O O O O O O O O O O O
Three people , including two village guards , died when a mine planted by PKK rebels exploded on a road in the southeast , Anatolian reported earlier .	O O O O O O O O O O O O O O S-ORG O O O O O O O O O S-ORG O O O
Sunderland 3 1 2 0 4 1 5	S-ORG O O O O O O O
Attendance 18,500 .	O O O
The poll , conducted earlier this month after Banharn 's coalition completed one year in office , showed the military would prefer General Chatichai Choonhavan -- a former prime minister who was ousted in a military coup in February 1991 -- as prime minister .	O O O O O O O O S-PER O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O
Officials from the Organisation for Security and Cooperation in Europe ( OSCE ) are considering the postponement following allegations of serious irregularities in the registration of Serb refugees .	O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O S-ORG O O O O O O O O O O O O O O S-MISC O O
Civil servants earn on average Z$ 1,000 ( $ 100 ) a month .	O O O O O S-MISC O O O O O O O O
- Saudi Prince Sultan telephones prime minister .	O S-MISC O O O O O O
State : OH	O O S-LOC
The central bank management could be lifted if Sao Paulo state decided to take part in the recent federal government 's plan to restructure state banks .	O O O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O
( Jun 26 ) ( Mar 13 )	O O O O O O O O
This is a decision of the leadership , " Garang said .	O O O O O O O O O S-PER O O
19,775 .	O O
Khouribga 3 Mohammedia 0	S-ORG O S-ORG O
Shares in retailer Metro Holdings dropped 3.31 percent , or Singapore $ 0.20 , to S$ 5.85 minutes after the market opened on Monday .	O O O B-ORG E-ORG O O O O O S-LOC O O O O S-MISC O O O O O O O O O
( million NZ$ unless stated )	O O S-MISC O O O
1768 - Francois-Rene ( Vicomte de ) Chateaubriand born .	O O B-PER I-PER I-PER I-PER I-PER E-PER O O
Total ( for 5 wickets , 46.4 overs ) 226	O O O O O O O O O O
" We do not expect any burden on our 1996 results from currency markets , " Demel told Reuters in an interview .	O O O O O O O O O O O O O O O O S-PER O S-ORG O O O O
OB 40 6 60 .406 21 1/2	S-ORG O O O O O O
Ajax defender John Veldman and his team mate Richard Witschge are injured , while PSV midfielder Philip Cocu has a fever .	S-ORG O B-PER E-PER O O O O B-PER E-PER O O O O S-ORG O B-PER E-PER O O O O
Wigan 3 2 1 0 5 2 7	S-ORG O O O O O O O
SOYBEAN SALES - The Taichung division of Taiwan 's Breakfast Soybean Procurement Assn bought 108,000 tonnes of U.S. soybeans .	O O O O B-ORG E-ORG O S-LOC O B-ORG I-ORG I-ORG E-ORG O O O O S-LOC O O
WASHINGTON 1996-08-29	S-LOC O
Women 's singles	O O O
JYVASKYLA , Finland 1996-08-26	S-LOC O S-LOC O
Toronto 4 CHICAGO 2	S-ORG O S-ORG O
Inzamam-ul-Haq c Hussain b Mullally 35	S-PER O S-PER O S-PER O
Oldham 3 0 0 3 2 6 0	S-ORG O O O O O O O
( Italy ) 71 73 72	O S-LOC O O O O
Men 's singles , first round	O O O O O O
FINANCIAL KATHIMERINI	B-ORG E-ORG
1. Juha Kankkunen ( Finland ) Toyota Celica 2 hours 30 minutes	O B-PER E-PER O S-LOC O B-MISC E-MISC O O O O
But Lebed , who has no real power without his boss and has hinted at dark forces in Moscow working against him , appears to think a deal will not stick without strong backing from Yeltsin .	O S-PER O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O S-PER O
Hoping for a longer engagement on the cement at Flushing Meadows were the sixth-seeded Huber of Germany and 12th seed Maleeva of Bulgaria .	O O O O O O O O O B-LOC E-LOC O O O S-PER O S-LOC O O O S-PER O S-LOC O
Clinton 's Ballybunion fans invited to Chicago .	S-PER O S-ORG O O O S-LOC O
for , against , points ) :	O O O O O O O
2. Falilat Ogunkoya ( Nigeria ) 22.58	O B-PER E-PER O S-LOC O O
EL PAIS	B-ORG E-ORG
Market turnover was 3.8 billion francs , about average for the quiet August period , including 2.6 billion on the most actively traded CAC-40 shares .	O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O
BASEBALL - RESULTS OF S. KOREAN PRO-BASEBALL GAMES .	O O O O B-MISC E-MISC O O O
Pakistan were 473-6 at tea on the fourth day of the third and final test at The Oval on Sunday in reply to England 's 326 .	S-LOC O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O S-LOC O O O
" I have been watching him for several weeks now and have no doubts he brings real quality to the side .	O O O O O O O O O O O O O O O O O O O O O O
More than 150,000 people have been killed in violence between the minority Tutsis and the majority Hutus since 1993 .	O O O O O O O O O O O O S-MISC O O O S-MISC O O O
At Trent Bridge : Nottinghamshire 392-6 ( G. Archer 143 not	O B-LOC E-LOC O S-ORG O O B-PER E-PER O O
Third-seeded Wayne Ferreira of South Africa defeated Tim Henman of Britain 6-4 6-4 after a three-hour evening rain delay and fifth-seeded Thomas Enqvist of Sweden won his third-round match , eliminating Petr Korda of the Czech Republic 6-3 6-4 .	O B-PER E-PER O B-LOC E-LOC O B-PER E-PER O S-LOC O O O O O O O O O O B-PER E-PER O S-LOC O O O O O O B-PER E-PER O O B-LOC E-LOC O O O
lost , winning percentage and games behind ) :	O O O O O O O O O
CRICKET - SRI LANKA AND AUSTRALIA SAY RELATIONS HAVE HEALED .	O O B-LOC E-LOC O S-LOC O O O O O
Lakes Rally which ended on Monday :	B-MISC E-MISC O O O O O
Police said the girl who died was identified as Michelle Harper .	O O O O O O O O O B-PER E-PER O
Michael Posner	B-PER E-PER
Samsung 47 5 54 .467 15	S-ORG O O O O O
Two died later in hospital .	O O O O O O
Financial Data in 000s : 1995 1994	O O O O O O O
Talks between Russia 's Alexander Lebed and Chechen separatist leaders were going well on Thursday and the two sides were working out a detailed schedule on how to stop the war , a Lebed aide said .	O O S-LOC O B-PER E-PER O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O
MONDAY , AUGUST 26TH SCHEDULE	O O O O O
6. Danny Theybers ( Belgium ) Honda	O B-PER E-PER O S-LOC O S-ORG
Lufthansa cargo Q2 load factor up 1.7 pct .	S-ORG O O O O O O O O
But new Springbok skipper Gary Teichmann has recovered from a bruised thigh and is ready to play , coach Andre Markgraaff said .	O O S-ORG O B-PER E-PER O O O O O O O O O O O O O B-PER E-PER O O
Canada 's ministry of foreign affairs in Ottawa had no immediate comment on the report .	S-LOC O O O O O O S-LOC O O O O O O O O
Despite a mood of compromise in the region after some of the worst fighting of the war , Lebed may be just finding out that concluding a long-term settlement , somewhere between rebel demands for independence and Moscow 's insistence that Chechnya remain part of Russia , will be no easy matter .	O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O S-LOC O O O S-LOC O O O S-LOC O O O O O O O
SUNDAY , AUGUST 25TH SCHEDULE	O O O O O
Soyoil solvent plant delivery 30,300-30,400	O O O O O
Baltimore Orioles manager Davey Johnson will miss Thursday night 's game against the Seattle Mariners after being admitted to a hospital with an irregular heartbeat .	B-ORG E-ORG O B-PER E-PER O O O O O O O O B-ORG E-ORG O O O O O O O O O O O
But gunmen of the left and right have killed with impunity across Antioquia for years , and there were unconfirmed reports that the latest bloodshed was the work of a right-wing paramilitary group .	O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O
Muscular dystrophy is a fatal illness in which the body 's muscle tissue degenerates and is replaced by fat .	O O O O O O O O O O O O O O O O O O O O
Armed hijackers believed to be Iraqis released 140 people on Tuesday from a Sudan Airways plane carrying 199 passengers and crew that landed in London after being diverted on a flight from Khartoum to Amman , police said .	O O O O O S-MISC O O O O O O O B-ORG E-ORG O O O O O O O O O S-LOC O O O O O O O S-LOC O S-LOC O O O O
Pachuca 3 Toluca 0	S-ORG O S-ORG O
5. Richard Kosgei ( Kenya ) 8:16.80	O B-PER E-PER O S-LOC O O
As to fundamentals , economists at Credit Suisse said they expect the country 's gross domestic product to be flat to negative in 1996 , and to grow only 0.6 percent in 1997 .	O O O O O O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O
It is not known why China raised the issue .	O O O O O S-LOC O O O O
It said its non-Medicare infusion therapy , hospice and nursing services businesses failed to meet budgeted revenues .	O O O S-MISC O O O O O O O O O O O O O O
Sairyu Maru No : 2 - ( built 1982 ) 60,960 dwt sold to Greek buyers for $ 15.5 million .	B-MISC I-MISC I-MISC I-MISC E-MISC O O O O O O O O O S-MISC O O O O O O
But the separatist command told Interfax news agency the patrols , part of the truce brokered by Lebed last week , would begin on Tuesday after delays for " technical reasons " .	O O O O O S-ORG O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O
Slask Wroclaw 7 3 1 3 8 7 10	B-ORG E-ORG O O O O O O O
We have seen elections as a step in the normalisation process , " the foreign ministry official said .	O O O O O O O O O O O O O O O O O O O
Nigeria police kill six robbery suspects .	S-LOC O O O O O O
147 Antoine Lebouc ( France ) 74 73 , Paul Curry 76 71 , Andrew	O B-PER E-PER O S-LOC O O O O B-PER E-PER O O O S-PER
WESTERN DIVISION	B-MISC E-MISC
The newspaper said the Central Bank special administration of Banespa ends in December 30 and after that the bank has to be liquidated or turned into a federal bank since there are no conditions to return Banespa to Sao Paulo state government .	O O O O B-ORG E-ORG O O O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O S-ORG O B-LOC E-LOC O O O
AFTER THE BELL - After hours slows in light volume .	O O O O O O O O O O O
Expected Sale Date : 08/26/96	O O O O O
10. Max Sciandri ( Britain ) 55	O B-PER E-PER O S-LOC O O
Williams ( 5-12 ) , who snapped a personal three-game losing streak , allowed five hits , walked two and struck out five .	S-PER O O O O O O O O O O O O O O O O O O O O O O O
The contract calls for production of the set-top boxes over five years .	O O O O O O O O O O O O O
OctNov unq 740 unq unq	O O O O O
He said the Mia 's issue had been raised in the House of Commons .	O O O S-PER O O O O O O O B-ORG I-ORG E-ORG O
MINNESOTA 9 Texas 2	S-ORG O S-ORG O
Sharpe repaid a huge slice of the 4.5 million pound ( $ 6.98 million ) fee Leeds handed Manchester United for his services with a top-draw second-half goal to hand Wimbledon their third successive defeat .	S-PER O O O O O O O O O O O O O O O S-ORG O B-ORG E-ORG O O O O O O O O O O S-ORG O O O O O
Preston 2 Crewe 1	S-ORG O S-ORG O
7-5 7-5	O O
NATIONAL LEAGUE	B-MISC E-MISC
U.S. says still committed to Cuba migration pacts .	S-LOC O O O O S-LOC O O O
2-0 .	O O
GENEVA 1996-08-25	S-LOC O
Division two	O O
MIAMI 1996-08-27	S-LOC O
1-0 .	O O
CALIFORNIA 61 69 .469 13 1/2	S-ORG O O O O O
Greek socialists give PM green light for election .	S-MISC O O O O O O O O
- Prime Minister Hariri : Israeli threats do no serve peace .	O O O S-PER O S-MISC O O O O O O
Hundreds of thousands of pounds ( dollars ) of damage was done in one day .	O O O O O O O O O O O O O O O O
North Melbourne 21 15 0 6 2385 1873 127.3 60	B-ORG E-ORG O O O O O O O O
De Kock , 48 , a former police colonel who commanded a hit-squad that wiped out opponents of apartheid , is the most senior servant of white rule yet to face justice .	B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Kurdish guerrillas killed two people and took three hostage after stopping two intercity buses at a roadblock in eastern Turkey , security officials said on Tuesday .	S-MISC O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O
Following are some of the main stories in Tuesday 's Sri Lankan newspapers :	O O O O O O O O O O B-MISC E-MISC O O
Interfax news agency said police had detained one of the attackers .	S-ORG O O O O O O O O O O O
India and Pakistan have fought two of their three wars over the troubled region of Kashmir since independence from Britain in 1947 .	S-LOC O S-LOC O O O O O O O O O O O O S-LOC O O O S-LOC O O O
2 - Zhang Ning ( China ) beat Olivia ( Indonesia ) 11-8 11-6	O O B-PER E-PER O S-LOC O O S-PER O S-LOC O O O
In northern Texas , the current rainfall situation was similar to most of Oklahoma , said Rodney Mosier , executive assistant for the Texas Wheat Producers .	O O S-LOC O O O O O O O O O O S-LOC O O B-PER E-PER O O O O O B-ORG I-ORG E-ORG O
Clinton is leading Dole by as much as 15 points according to some polls .	S-PER O O S-PER O O O O O O O O O O O
13. Pecs 3 1 - 2 3 5 3	O S-ORG O O O O O O O
-- National Economy Minister Yannos Papandoniou defends " hard drachma " foreign exchange policy , says it wo n't change	O O O O B-PER E-PER O O O O O O O O O O O O O O
Iran has warned Germany that bilateral relations could suffer if it pays heed to the testimony of Banisadr , an architect of Iran 's Islamic revolution who has been a sworn enemy of Tehran since he fell from favour after a year as president .	S-LOC O O S-LOC O O O O O O O O O O O O O S-PER O O O O S-LOC O S-MISC O O O O O O O O S-LOC O O O O O O O O O O O
Bernard Hickey	B-PER E-PER
COLOMBO 1996-08-28	S-LOC O
Year to May 31 , 1997	O O O O O O
But at 36 it would be asking too much of Paul , " he said .	O O O O O O O O O O S-PER O O O O O
17 - Felix Mantilla ( Spain ) beat Fernando Meligeni ( Brazil ) 6-1 6 - 7 ( 2-7 ) 7-6 ( 7-5 ) 6-3	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O O O O O O O O
Following are some of the main factors likely to affect Indonesian stocks on Thursday :	O O O O O O O O O O S-MISC O O O O
Central bank officials said on Thursday that a much-postponed hryvna currency would " definitely " be introduced before the end of this year .	O O O O O O O O O O O O O O O O O O O O O O O O
Maybe I have n't been as keyed up as I should have been . "	O O O O O O O O O O O O O O O
Lokeren 4 1 1 2 4 5 4	S-ORG O O O O O O O
" I hope the government will now make it clear they believe there is a better way of dealing with this issue , " National Farmers Union president Sir David Naish told BBC radio .	O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O O B-PER E-PER O B-ORG E-ORG O
" The whole day I 'm thinking abnout tennis .	O O O O O O O O O O
drawn , lost , goals for , against , points ) :	O O O O O O O O O O O O
- The president of the Bosnian Association for Refugees and Displaced Persons , Mirhunisa Komarica says many survivors of the 1995 massacre in the Bosnian town of Srebrenica are languishing as forced laborers in Serbian mines .	O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O B-PER E-PER O O O O O O O O O S-MISC O O S-LOC O O O O O O S-MISC O O
It said a taxi carrying the guards , members of a mostly Kurdish militia which fights the PKK , hit the mine in the province of Diyarbakir .	O O O O O O O O O O O O S-MISC O O O O S-ORG O O O O O O O O S-LOC O
Arnaud Boetsch ( France ) beat Nicolas Pereira ( Venezuela ) 7-6 ( 7-4 ) 6-4 7-5	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O O
Attendance 13,500 .	O O O
JERUSALEM 1996-08-27	S-LOC O
MONTGOMERY , Ala .	S-LOC O S-LOC O
Nottinghamshire 13 1 6 6 34 40 108	S-ORG O O O O O O O
- The Angolan Chief of State addressed a letter to UN Security Council proposing dates for the conclusion of the peace process in Angola .	O O S-MISC O O O O O O O B-ORG I-ORG E-ORG O O O O O O O O O O S-LOC O
WESTERN DIVISION	B-MISC E-MISC
Containment of the fire has been difficult because of the hot , arid , windy weather in the region , Conroy said .	O O O O O O O O O O O O O O O O O O O O S-PER O O
Pollock , who returns home a month early next week , said : " I would like to come back and play county cricket in the future and I do n't think I would like to swap counties . "	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Karlsruhe 3 2 1 0 9 3 7	S-ORG O O O O O O O
Nigeria is under fire from many Western countries for human rights abuses and lack of democracy .	S-LOC O O O O O S-MISC O O O O O O O O O O
Lens , who have won all their three league matches so far , host Montpellier on Wednesday night .	S-ORG O O O O O O O O O O O O O S-ORG O O O O
Hawthorn 21 10 1 10 1791 1820 98.4 42	S-ORG O O O O O O O O
WEDNESDAY , AUGUST 28TH SCHEDULE	O O O O O
( Denmark ) 4:24.660	O S-LOC O O
Wasim , who promoted himself to number four in the order , followed for six when Croft drifted another well-flighted delivery behind his legs .	S-PER O O O O O O O O O O O O O O O S-PER O O O O O O O O
LOS ANGELES AT MONTREAL	B-ORG E-ORG O S-LOC
The government has denied the charge and blames the MQM for much of the violence that killed 2,000 people in the city last year .	O O O O O O O O O S-ORG O O O O O O O O O O O O O O O
AMSTERDAM 1996-08-25	S-LOC O
Tapie 's lawyer has said he intends to appeal to the European Court of Human Rights in an effort to prevent or delay the loss of his European seat .	S-PER O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O S-MISC O O
Nyva Ternopil 6 2 0 4 4 11 6	B-ORG E-ORG O O O O O O O
At its convention four years ago , organizers prevented then Pennsylvania Gov .	O O O O O O O O O O S-LOC O O
- Gas prices may go up by five percent to increase the rate of return of Sui Southern Gas and Sui Northern Gas companies .	O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O B-ORG I-ORG E-ORG O O
Vogts picked no new players for the squad for the September 4 game in Zabrze .	S-PER O O O O O O O O O O O O O S-LOC O
-- Huw Jones , New York Commodities 212-859-1646	O B-PER E-PER O B-ORG I-ORG E-ORG O
China was the last declared nuclear power to announce a halt to testing .	S-LOC O O O O O O O O O O O O O
Greek conservative New democracy party picked Bold / Ogilvy and Mather advertising companies for its pre-election campaign and Spot Thomson to help party president Miltiadis Evert on communication strategy , it said in a statement .	S-MISC O B-ORG E-ORG O O B-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O B-PER E-PER O O O O B-PER E-PER O O O O O O O O O O
-- Air Cargo Newsroom Tel+44 171 542 7706 Fax+44 171 542 5017	O B-ORG I-ORG E-ORG O O O O O O O O
" I 'm pleased because I did n't play that great today , but I fought really well , " he said . "	O O O O O O O O O O O O O O O O O O O O O O O O
4. El Hassane Lahssini ( Morocco ) 7:32.44	O B-PER I-PER E-PER O S-LOC O O
Fortuna Duesseldorf 0 1860 Munich 0 .	B-ORG E-ORG O B-ORG E-ORG O O
Stabaek 4 Stromsgodset 0	S-ORG O S-ORG O
" It appears to me the Syrian priority is still to negotiate .	O O O O O O S-MISC O O O O O O
BOMBAY 1996-08-28	S-LOC O
3 - Anto Drobnjak ( Bastia ) , Xavier Gravelaine ( Marseille ) .	O O B-PER E-PER O S-ORG O O B-PER E-PER O S-ORG O O
CRICKET - ESSEX POISED TO STEP UP TITLE CHALLENGE .	O O S-ORG O O O O O O O
On Tuesday night , Kevorkian attended the death of Louise Siebens , a 76-year-old Texas woman with amyotrophic lateral sclerosis , or Lou Gehrig 's disease .	O O O O S-PER O O O O B-PER E-PER O O O S-LOC O O O O O O O B-PER E-PER O O O
- A cabinet minister : " Lebanon First " aims at splitting the Syrian-Lebanese peace tracks with Israel .	O O O O O O B-ORG E-ORG O O O O O S-MISC O O O S-LOC O
1-1 .	O O
Palestinian President Yasser Arafat has demanded that Israel release Yassin -- who is confined to a wheelchair -- on humanitarian grounds .	S-MISC O B-PER E-PER O O O S-LOC O S-PER O O O O O O O O O O O O
Semifinals :	O O
The United States said on Thursday it remained committed to migration accords with Cuba and would continue to repatriate intercepted Cuban migrants who attempted to enter U.S. territory illegally .	O B-LOC E-LOC O O O O O O O O O O S-LOC O O O O O O S-MISC O O O O O S-LOC O O O
The response of the Bosnian Serbs to the OSCE 's announcement was not immediately clear .	O O O O B-MISC E-MISC O O S-ORG O O O O O O O
U.S. envoy John Kornblum met Serbian President Slobodan Milosevic on Thursday in an effort to defuse a growing crisis surrounding Bosnia 's post-war elections .	S-LOC O B-PER E-PER O S-MISC O B-PER E-PER O O O O O O O O O O O S-LOC O O O O
MANILA 1996-08-26	S-LOC O
Media reports have speculated that the commission , which is trying to heal the wounds of apartheid by confronting the past , could subpoena apartheid-era President P.W. Botha and former police generals Basie Smit and Johan Van Der Merwe .	O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O B-PER E-PER O B-PER I-PER I-PER E-PER O
" The PUK leadership who pledged to end fighting and cooperate with the latest U.S. initiative started a major military offensive against KDP positions , " the KDP said in a statement .	O O S-ORG O O O O O O O O O O O S-LOC O O O O O O O S-ORG O O O O S-ORG O O O O O
Ruch Chorzow 7 1 2 4 7 13 5	B-ORG E-ORG O O O O O O O
6-4 6-1	O O
CHICAGO 1996-08-27	S-LOC O
Mladost ( L ) 3 1 1 1 6 4 4	B-ORG I-ORG I-ORG E-ORG O O O O O O O
5. Fabien Giroix ( France ) / Jean-Denis Deletraz ( Switzerland )	O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
